ProgramKodu,UniversiteAdi,FakulteAdi,BolumAdi,PuanTuru,GenelKontenjan,Yerlesen,EnKucukPuan,EnBuyukPuan,OBKontenjan,OBYerlesen,OBEnKucukPuan,OBEnBuyukPuan
200150361,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Meslek Yüksekokulu,Aşçılık (Burslu),TYT,5,5,381.17173,440.08834, , , , 
200150352,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Meslek Yüksekokulu,Aşçılık (%50 İndirimli),TYT,28,28,221.33361,351.06405, , , , 
200150758,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Meslek Yüksekokulu,Biyomedikal Cihaz Teknolojisi (Burslu),TYT,3,3,317.00025,328.96551, , , , 
200150767,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Meslek Yüksekokulu,Biyomedikal Cihaz Teknolojisi (%50 İndirimli),TYT,20,20,212.35986,277.79740, , , , 
200150652,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Ağız ve Diş Sağlığı (Burslu),TYT,5,5,326.84287,375.41577, , , , 
200150661,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Ağız ve Diş Sağlığı (%50 İndirimli),TYT,31,31,226.94834,292.41650, , , , 
200190038,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Ağız ve Diş Sağlığı (İÖ) (Burslu),TYT,3,3,313.73746,316.64944, , , , 
200190039,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Ağız ve Diş Sağlığı (İÖ) (%50 İndirimli),TYT,20,20,208.55541,283.17753, , , , 
200150679,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Ameliyathane Hizmetleri (Burslu),TYT,6,6,320.13835,356.53196, , , , 
200150688,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Ameliyathane Hizmetleri (%50 İndirimli),TYT,34,34,232.75390,261.14082, , , , 
200150025,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Anestezi (Burslu),TYT,5,5,380.80622,422.92510, , , , 
200150255,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Anestezi (%50 İndirimli),TYT,31,31,270.14774,373.87254, , , , 
200150404,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Anestezi (İÖ) (Burslu),TYT,5,5,341.80096,371.37151, , , , 
200150397,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Anestezi (İÖ) (%50 İndirimli),TYT,31,31,254.24193,285.41278, , , , 
200150185,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Diyaliz (Burslu),TYT,5,5,301.97749,322.95506, , , , 
200150334,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Diyaliz (%50 İndirimli),TYT,31,31,220.68093,261.00519, , , , 
200150201,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Elektronörofizyoloji (Burslu),TYT,5,5,299.02359,333.24432, , , , 
200150343,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Elektronörofizyoloji (%50 İndirimli),TYT,28,24,186.37810,265.37857, , , , 
200190058,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Fizyoterapi (Burslu),TYT,5,5,331.80657,377.69180, , , , 
200190059,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Fizyoterapi (%50 İndirimli),TYT,28,28,241.89410,298.50624, , , , 
200150167,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,İlk ve Acil Yardım (Burslu),TYT,7,7,360.37229,406.09041, , , , 
200150264,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,İlk ve Acil Yardım (%50 İndirimli),TYT,38,38,276.03787,310.38816, , , , 
200150501,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,İlk ve Acil Yardım (İÖ) (Burslu),TYT,7,7,341.46900,399.87297, , , , 
200150494,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,İlk ve Acil Yardım (İÖ) (%50 İndirimli),TYT,38,38,261.49494,285.85234, , , , 
200150697,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Odyometri (Burslu),TYT,5,5,328.21053,336.81732, , , , 
200150704,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Odyometri (%50 İndirimli),TYT,31,31,221.89182,282.06724, , , , 
200150713,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Optisyenlik (Burslu),TYT,7,7,334.05884,492.91272, , , , 
200150722,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Optisyenlik (%50 İndirimli),TYT,38,38,215.22724,279.81325, , , , 
200150731,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Ortopedik Protez ve Ortez (Burslu),TYT,3,3,341.41984,356.73034, , , , 
200150749,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Ortopedik Protez ve Ortez (%50 İndirimli),TYT,20,20,218.71694,265.72067, , , , 
200150061,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Patoloji Laboratuvar Teknikleri (Burslu),TYT,5,5,314.22595,331.09093, , , , 
200150307,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Patoloji Laboratuvar Teknikleri (%50 İndirimli),TYT,31,31,209.63119,251.98517, , , , 
200150528,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Patoloji Laboratuvar Teknikleri (İÖ) (Burslu),TYT,3,3,299.02763,367.39603, , , , 
200150519,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Patoloji Laboratuvar Teknikleri (İÖ) (%50 İndirimli),TYT,20,11,182.35878,211.14267, , , , 
200150546,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Podoloji (Burslu),TYT,4,4,297.03890,298.82034, , , , 
200150537,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Podoloji (%50 İndirimli),TYT,21,21,194.46635,258.71700, , , , 
200150564,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Podoloji (İÖ) (Burslu),TYT,4,4,314.01326,366.17171, , , , 
200150555,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Podoloji (İÖ) (%50 İndirimli),TYT,21,12,171.12369,266.09428, , , , 
200150088,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ (İSTANBUL) (Vakıf Üniversitesi),Sağlık Hizmetleri Meslek Yüksekokulu,Radyoterapi (Burslu),TYT,5,5,307.72530,318.23044, , , , 
